Supplier,Country,Category
Marson Corporation,USA,Fasteners
Master Machine Products,USA,Components
Mayday Manufacturing,USA,Components
Mecair,Italy,Valves
Meg Technologies,USA,Components
Meggitt,UK,Brakes/Sensors
Meggitt Safety Systems,UK,Safety
Mep Ltd,UK,Components
Meriden Mfg,USA,Components
Micro-Tronics,USA,Components
Microlamp,USA,Lighting
Midwest Fastener Supply Inc.,USA,Fasteners
Miller,USA,Tools
Minebea Company,Japan,Bearings
Mini Mac,USA,Fasteners
Minor Rubber,USA,Seals
Moeller Manufacturing & Supply,USA,Components
Molex,USA,Connectors
Momentive,USA,Sealants
Monadnock Company,USA,Fasteners
Monogram Aerospace Fasteners,USA,Fasteners
Moog Inc.,USA,Controls
Moog Inc.,USA,Flight Controls
Morton Manufacturing,USA,Components
MS Aerospace,USA,Components
Nafco Taiwan,Taiwan,Hardware
National Utilities Corporation,USA,Hardware
ND Industries,USA,Coatings
New Hampshire Ball Bearings,USA,Bearings
New Hampshire Ball Bearings V1 - BGS,USA,Bearings
New Metals,USA,Materials
Nitto,Japan,Tapes
North Safety,USA,Safety
Norwich Aero Products,USA,Components
NYCO,France,Fluids
Nylok Fasteners,USA,Fasteners
Nylon Molding,USA,Plastics
Ohio Gasket,USA,Seals
Orkal Ind. LLC,USA,Seals
Oshino Lamps,Japan,Lighting
Osram,Germany,Lighting
Ott Brothers,USA,Hardware
Otto Engineering,USA,Switches
"Packaging Systems, Inc.",USA,Packaging
"Pacmet Aerospace, LLC",USA,Metals
Pako Inc,USA,Components
Pall,USA,Filters
Pamco,USA,Components
Panduit,USA,Cable Mgmt
Paolo Astori,Italy,Fasteners
Parker Aerospace,USA,Fittings
Parker Aerospace,USA,Fluid Systems
PB Fasteners,USA,Fasteners
PCC,USA,Metals
Penn Engineering & Manufacturing,USA,Fasteners
Perfect Point,USA,Components
Perkins,UK,Engines
Permali,UK,Composites
Permaswage,USA,Fittings
Pexco Aerospace Inc.,USA,Seals
Philips Lighting,Netherlands,Lighting
Pilgrim Screw,USA,Fasteners
Pilgrim Screw Corporation,USA,Fasteners
Poggipolini S.P.A,Italy,Hardware
PPG,USA,Coatings
Pratt & Whitney,USA,Engines
Precision Aerospace Components,USA,Components
Precision Castparts,USA,Engine Components
Precision Shapes,USA,Metals
PrecisionForm Rivet,USA,Fasteners
Proponent,USA,Distribution
Protective Closures,USA,Protective
PSI Aerospace Bearings- Rexnord Division,USA,Bearings
QRP,USA,Seals
Qualiseal Technology,USA,Seals
R&B Electronics,USA,Electrical
Radiall,France,Connectors
Radio Components Corp.,USA,Electrical
RAF Electronic Hardware,USA,Hardware
Ralmark Company,USA,Components
Ray-O-Vac,USA,Batteries
RBC Heim,USA,Bearings
RBC Transport Dynamics,USA,Bearings
Reid Products Inc.,USA,Components
"Rexnord Industries, LLC",USA,Bearings
RGI,USA,Components
Rhino Health,USA,Materials
Roland Distribution LLC,USA,Distribution
Rolls-Royce,UK,Engines
Rudolf Wulfmeyer Aircraft,Germany,Components
RWG Frankenjura Industrie,Germany,Bearings
Safran,France,Landing Gear
Safran Power USA,USA,Engines
Saint-Gobain Performance Plastics,France,Plastics
Saturn Fasteners,USA,Fasteners
Schaeffler Aerospace Canada Inc.,Canada,Bearings
Schaeffler Aerospace USA Corp,USA,Bearings
Schneller,USA,Fabrics
Schroff Inc.,USA,Enclosures
Schwarz,USA,Components
Scovill,USA,Fittings
Seal Dynamics,USA,Seals
Seastrom,USA,Components
Sekisui Aerospace,USA,Prepregs
Sekisui Aerospace,USA,Prepregs (777X)
Senior Aerospace BWT,UK,Tubing
Senior Aerospace Spencer,USA,Tubing
Sensata,USA,Sensors
Sesco Industries,USA,Coatings
SFS Intec,Switzerland,Fasteners
Shaw Aero Devices,USA,Hardware
Shell Eastern Petroleum (Pte) Ltd,Singapore,Chemicals
Shur-Lok,USA,Fasteners
Slabe Manufacturing,USA,Components
Sloan,USA,Valves
Smalley Steel Ring Co,USA,Rings
Snap-On/ATI Distributor,USA,Tools
Socomore,France,Chemicals
Solutia Europe Bv,Netherlands,Materials
Solvay,Belgium,Advanced Materials
Solvay/Cytec Industries,Belgium,Composites
Sonic Industries,USA,Components
Sopoc,France,Components
Southco Fasteners,USA,Hardware
Space-Lok,USA,Fasteners
Specline Inc,USA,Coatings
Spirit AeroSystems,USA,Fuselages/Wings
Spirol,USA,Pins
SPS Technologies,USA,Fasteners
Square D (electrical),USA,Electrical
Staffall Inc,USA,Coatings
Stakefast,USA,Fasteners
Stanmar Limited,Canada,Components
"Step'n Components, LLC",USA,Hardware
Stimpson,USA,Fasteners
Stpi Relais Electroniques,France,Relays
Streamlight,USA,Lighting
"Stroco Manufacturing, Inc.",USA,Hardware
Stuart Industries,USA,Components
Sumitomo,Japan,Electrical
Superior Washer & Gasket,USA,Seals
Sycronis Aerospace,USA,Components
TA Aerospace,USA,Components
TE Connectivity,Switzerland,Connectors
TFI,USA,Components
Thomas & Betts,USA,Electrical
Timken Super Precision,USA,Bearings
Toray Composites (USA),USA,Carbon Fiber
Toray Composites USA,USA,Carbon Fiber (WA)
"TPS Aviation, Inc.",USA,Distribution
Trelleborg Sealing Solutions,Sweden,Seals
Tri-Fitting Manufacturing,USA,Fittings
Triumph Aerostructures,USA,Wing Components
Triumph Group,USA,Structures/Systems
"Turbocombustor Technology, Inc. DBA Paradigm Precision",USA,Components
Twist-Tite Manufacturing,USA,Fasteners
Umpco,USA,Fasteners
"United Precision Products Co., Inc",USA,Components
Uvex,USA,Safety
Valley Todeco,USA,Seals
Veritiv Operating Company,USA,Distribution
Vermont Aerospace Industries LLC.,USA,Components
Voi-Shan/Diessel GmbH,Germany,Components
Voss Industries,USA,Seals
W.L. Gore,USA,Materials
W.S. Wilson Corp.,USA,Components
Wal Machine (GKN PGM),USA,Components
Wamco,USA,Distribution
Welch Allyn Lighting Products,USA,Lighting
West Coast Aerospace,USA,Distribution
Western Filament,USA,Lighting
Western Sky,USA,Components
Western Wire,USA,Cables
Woodward,USA,Fuel Systems
Young Engineers,USA,Components
"Zeus Industrial Products, Inc",USA,Tubing
Zodiac Services/ECE,France,Components
